,p,q,theta,Tice,Sensor_Name
2018-03-11 02:22:00,-13.76403720673521,-17.25968498202624,0.13139003208527522,-8.995972,D
2018-03-11 02:23:00,-13.660627153033058,-16.9708874915723,0.15570103279521308,-8.996765,D
2018-03-11 02:24:00,-12.83850329089425,-16.740269070571607,0.21623287955771175,-8.997498,D
2018-03-11 02:25:00,-12.28162194103399,-16.673100738499148,0.10730751774660652,-8.998169,D
2018-03-11 02:26:00,-13.262322056237428,-16.969286076330544,0.13522518048255017,-8.998993,D
2018-03-11 02:27:00,-12.83758940806951,-17.073814767237018,0.09170139397378207,-8.999908,D
2018-03-11 02:28:00,-12.344153970662331,-16.341010026756145,0.17309340198136325,-9.000519,D
2018-03-11 02:29:00,-13.739709355016963,-17.258489141212163,0.1090425435102429,-9.001343,D
2018-03-11 02:30:00,-13.406955709631893,-16.7448656616384,0.2080253729484971,-9.002106,D
2018-03-11 02:31:00,-14.489287493280761,-17.19370144420909,0.16718931437034423,-9.00293,D
2018-03-11 02:32:00,-13.783065023485648,-17.049787670103413,0.15784864949210964,-9.003662,D
2018-03-11 02:33:00,-13.246125066981524,-17.03424296998155,0.20380881497550063,-9.004364,D
2018-03-11 02:34:00,-11.946038448882005,-16.6185555379331,0.13569692686579482,-9.005219,D
2018-03-11 02:35:00,-11.742348143235285,-16.25473315231682,0.11548138694386556,-9.005951,D
2018-03-11 02:36:00,-12.32339022577515,-16.451200262610087,0.20527846134420513,-9.006622,D
2018-03-11 02:37:00,-11.662757589205006,-16.754052569336373,0.11205562996964447,-9.007477,D
2018-03-11 02:38:00,-12.671469700583808,-16.838639393794605,0.1728083055728784,-9.00827,D
2018-03-11 02:39:00,-11.93125564080811,-17.042522577140147,0.08193677502425367,-9.009064,D
2018-03-11 02:40:00,-12.541061755142097,-16.90056215067752,0.18779713934480546,-9.009766,D
2018-03-11 02:41:00,-13.637884840048994,-17.15309134600761,0.17127279861297962,-9.01059,D
2018-03-11 02:42:00,-14.170626982193149,-17.317828100501472,0.3413625440708161,-9.011322,D
2018-03-11 02:43:00,-12.774594744051548,-16.765227336158226,0.31085376442894086,-9.011963,D
2018-03-11 02:44:00,-13.208071250581895,-16.94116085604312,0.333827179541472,-9.012787,D
2018-03-11 02:45:00,-12.166353538577125,-16.311406427284304,0.14811801209486952,-9.013519,D
2018-03-11 02:46:00,-13.978466915325425,-17.30282467644707,0.18979564812865668,-9.014343,D
2018-03-11 02:47:00,-13.088432753949952,-16.939158039223067,0.18034091718749168,-9.015015,D
2018-03-11 02:48:00,-11.643385242878841,-16.465991888640865,0.11457107424493529,-9.015686,D
2018-03-11 02:49:00,-13.176956333368265,-17.00043374989859,0.2236168792510267,-9.016479,D
2018-03-11 02:50:00,-11.791224542105255,-16.572116814383556,0.11906356325814405,-9.017273,D
2018-03-11 02:51:00,-13.313069948202664,-17.454459363628906,0.2096528650188214,-9.018066,D
2018-03-11 02:52:00,-12.494837727022446,-16.70750154267691,0.2289490712073572,-9.01889,D
2018-03-11 02:53:00,-14.462522558487297,-17.32898913773974,0.265715884646615,-9.019684,D
2018-03-11 02:54:00,-14.664911228205549,-17.15229659281511,0.35959831215401783,-9.020508,D
2018-03-11 02:55:00,-14.856600902764532,-17.193948684238478,0.3748191645283423,-9.021149,D
2018-03-11 02:56:00,-14.554582132254215,-17.036350077218348,0.36676458941843126,-9.021881,D
2018-03-11 02:57:00,-14.563975828521539,-17.12292444806258,0.33571331684640415,-9.022797,D
2018-03-11 02:58:00,-15.840979737184822,-17.267798939081715,0.21449790837329474,-9.02356,D
2018-03-11 02:59:00,-16.219067323100244,-17.449657140135905,0.11383475687685762,-9.0242,D
2018-03-11 03:00:00,-15.639230939910764,-17.37833015856667,0.18921501221779313,-9.024963,D
2018-03-11 03:01:00,-16.1085438901703,-17.36236749610151,0.19162846884118623,-9.025726,D
2018-03-11 03:02:00,-16.334630055310814,-17.42436432727622,0.13964255028930594,-9.026581,D
2018-03-11 03:03:00,-16.319522897244973,-17.351374963300533,0.17468535719817457,-9.027344,D
2018-03-11 03:04:00,-16.45189262447201,-17.30281415869085,0.2537499125348308,-9.028107,D
2018-03-11 03:05:00,-17.026558380531206,-17.51243374188432,0.09227736720645052,-9.0289,D
2018-03-11 03:06:00,-16.58207781122149,-17.47770718551517,0.2271310375129476,-9.029602,D
2018-03-11 03:07:00,-16.8479432292497,-17.54954009949116,0.15065846991311171,-9.030457,D
2018-03-11 03:08:00,-16.989544255436357,-17.647838593956866,0.15577862000998932,-9.031281,D
2018-03-11 03:09:00,-17.336274940588606,-17.60217850695013,0.3899512907608824,-9.031891,D
2018-03-11 03:10:00,-17.11233137869526,-17.595011780820172,0.23186152021839512,-9.032623,D
2018-03-11 03:11:00,-16.89637964093729,-17.58155781382621,0.0935551667799468,-9.033478,D
2018-03-11 03:12:00,-16.955322449435638,-17.609404794831473,0.05035654147228108,-9.034149,D
2018-03-11 03:13:00,-17.170874764225015,-17.705891036136176,0.02556341635459236,-9.034912,D
2018-03-11 03:14:00,-16.902011797228784,-17.71770251451496,0.16067336816161903,-9.035553,D
2018-03-11 03:15:00,-16.22032419450687,-17.527724264658893,0.16186024183336967,-9.036591,D
2018-03-11 03:16:00,-16.289657571305142,-17.651828582585264,0.15668269227584664,-9.037476,D
2018-03-11 03:17:00,-16.66009101132682,-17.68492469052405,0.14944768994162394,-9.038055,D
2018-03-11 03:18:00,-16.620657644975694,-17.63491949655361,0.15366867516941118,-9.038666,D
2018-03-11 03:19:00,-16.4976662503343,-17.625709714465913,0.08703567711438387,-9.03949,D
2018-03-11 03:20:00,-16.037947420339936,-17.557453618190134,0.12673134934025843,-9.040253,D
2018-03-11 03:21:00,-16.0858166104582,-17.54666535816443,0.1798475685481622,-9.041016,D
2018-03-11 03:22:00,-16.392982305051135,-17.702982430875878,0.131809802526077,-9.04184,D
2018-03-11 03:23:00,-16.544443176841128,-17.685825052580494,0.16769072902296478,-9.042572,D
2018-03-11 03:24:00,-16.160715953826358,-17.58879973338045,0.2459240809255896,-9.043396,D
2018-03-11 03:25:00,-16.280354709479894,-17.709115926009105,0.21793248055854741,-9.044128,D
2018-03-11 03:26:00,-16.383346987235626,-17.615235055461802,0.21589728064274527,-9.044891,D
2018-03-11 03:27:00,-16.083382541188165,-17.55889767999941,0.18731165007296435,-9.045624,D
2018-03-11 03:28:00,-16.970810309562307,-17.824945043599225,0.13398549402005933,-9.046417,D
2018-03-11 03:29:00,-16.396529738608194,-17.64446118554224,0.22322830076306266,-9.04718,D
2018-03-11 03:30:00,-17.01078546833797,-17.812112260056857,0.22431379862538958,-9.048004,D
2018-03-11 03:31:00,-17.403994582787007,-17.824061584111263,0.32825688519906593,-9.048767,D
2018-03-11 03:32:00,-17.67386936809833,-17.813671638495038,0.3715039312188253,-9.049591,D
2018-03-11 03:33:00,-17.78924222793827,-18.034569898417047,0.8140365119260826,-9.050262,D
2018-03-11 03:34:00,-17.722847118937935,-17.91708051224724,0.6804058974064818,-9.051117,D
2018-03-11 03:35:00,-17.21234105842869,-17.854918145773123,0.1960554642568053,-9.051941,D
2018-03-11 03:36:00,-17.74642455009595,-17.976124078939737,0.24573065637856795,-9.052673,D
2018-03-11 03:37:00,-16.801603743821467,-17.823839960652982,0.26539809083253507,-9.053375,D
2018-03-11 03:38:00,-16.337930883186797,-17.73371553666392,0.34843714909287526,-9.054291,D
2018-03-11 03:39:00,-16.661690556085496,-17.765053555415342,0.35886124508842787,-9.054871,D
2018-03-11 03:40:00,-16.37996655358554,-17.745116710522417,0.3367286701032721,-9.055847,D
