,p,q,theta,Tice,Sensor_Name
2018-03-20 10:51:00,-8.50165565557378,-11.85248091863081,1.0959493583463011,-11.26672,C
2018-03-20 10:52:00,-8.34150851103056,-11.738037891781783,1.0893582295768214,-11.26611,C
2018-03-20 10:53:00,-7.7560158692866485,-11.430473804332662,1.079634192451592,-11.26556,C
2018-03-20 10:54:00,-8.07514216483373,-11.833026441767721,1.1024765251584263,-11.26511,C
2018-03-20 10:55:00,-8.274861594604346,-11.826980527621403,1.1128423785781267,-11.26443,C
2018-03-20 10:56:00,-8.2422796298439,-11.757523877629604,1.1164869351293776,-11.26379,C
2018-03-20 10:57:00,-8.044564291333513,-11.556063345522084,1.0987332188909482,-11.26331,C
2018-03-20 10:58:00,-8.179217620673477,-11.770452583906645,1.0728638943943736,-11.26266,C
2018-03-20 10:59:00,-8.549982279227331,-11.967322621159742,1.095072281642727,-11.26205,C
2018-03-20 11:00:00,-8.592304341790268,-11.89719979999736,1.1077910861206117,-11.26181,C
2018-03-20 11:01:00,-8.508040612512561,-11.830487676417794,1.1101275940349948,-11.26114,C
2018-03-20 11:02:00,-8.155466103930761,-11.636367562920535,1.1138064532178955,-11.26065,C
2018-03-20 11:03:00,-8.039749308311176,-11.78088440061115,1.077508829890526,-11.26004,C
2018-03-20 11:04:00,-8.382608939147351,-11.982078307519387,1.0858649369315563,-11.25958,C
2018-03-20 11:05:00,-8.578211996310493,-12.031953664141769,1.0865087445687163,-11.25916,C
2018-03-20 11:06:00,-8.40185791947123,-11.883681120893419,1.0761713141369915,-11.25854,C
2018-03-20 11:07:00,-8.004203666439905,-11.609100976142926,1.0750520521689602,-11.25781,C
2018-03-20 11:08:00,-7.956420918202152,-11.631302139805626,1.0934960494356343,-11.25732,C
2018-03-20 11:09:00,-7.807607383944775,-11.530869121658103,1.0829941323181504,-11.25681,C
2018-03-20 11:10:00,-8.172772970245246,-11.658780895683838,1.0764059445062086,-11.25635,C
2018-03-20 11:11:00,-7.954046984938406,-11.503432270192835,1.0661714707141208,-11.25565,C
2018-03-20 11:12:00,-8.153022947838089,-11.624647274150844,1.0922518776847632,-11.25507,C
2018-03-20 11:13:00,-8.316616988890386,-11.7578819328631,1.0992774379381336,-11.25458,C
2018-03-20 11:14:00,-8.393259480237747,-11.803471531972304,1.1113743678132924,-11.25406,C
2018-03-20 11:15:00,-8.261866387435091,-11.659337168342912,1.1159660541515093,-11.2536,C
2018-03-20 11:16:00,-8.196706743554335,-11.6742985397835,1.1249257104265507,-11.25308,C
2018-03-20 11:17:00,-8.23866760856171,-11.806974058749535,1.1132421008393862,-11.25247,C
2018-03-20 11:18:00,-8.275037519819831,-11.768544553143693,1.0995187000148698,-11.25198,C
2018-03-20 11:19:00,-8.232293843419319,-11.709543851965538,1.1022007083817371,-11.25131,C
2018-03-20 11:20:00,-8.159920483313186,-11.656466014529405,1.110977645211424,-11.25095,C
2018-03-20 11:21:00,-8.258851898239149,-11.680102117708923,1.0902086941582931,-11.25043,C
2018-03-20 11:22:00,-8.26988405927908,-11.667277569682257,1.0825223262254653,-11.24982,C
2018-03-20 11:23:00,-8.146478118543605,-11.69218542167677,1.0821031363114848,-11.2493,C
2018-03-20 11:24:00,-8.22367432043926,-11.737349667642384,1.0823885273612248,-11.24869,C
2018-03-20 11:25:00,-7.992606631350689,-11.620298352264603,1.0822383896634404,-11.24817,C
2018-03-20 11:26:00,-7.963889425047062,-11.547093428389031,1.0884345305614715,-11.24765,C
2018-03-20 11:27:00,-7.585910839437367,-11.227043991478817,1.0828865957186506,-11.24695,C
2018-03-20 11:28:00,-7.796919708319026,-11.412794392123699,1.0738763810598808,-11.24637,C
2018-03-20 11:29:00,-7.911071017611085,-11.571713335969871,1.0850982282518613,-11.24588,C
2018-03-20 11:30:00,-7.470697608202769,-11.241563920611643,1.0495462756417862,-11.24539,C
2018-03-20 11:31:00,-7.501512509134776,-11.309054540612925,1.042026935714345,-11.2446,C
2018-03-20 11:32:00,-7.465944182626197,-11.293237318930926,1.0552320873314294,-11.24399,C
2018-03-20 11:33:00,-7.32734206287101,-11.232830936413846,1.046788858223115,-11.2435,C
2018-03-20 11:34:00,-7.566990955885662,-11.414267680796392,1.0347467200166598,-11.24292,C
2018-03-20 11:35:00,-7.495186842263342,-11.334445147173948,1.045091757016909,-11.24222,C
2018-03-20 11:36:00,-7.422291322217656,-11.256229404966444,1.0402519724770443,-11.24158,C
2018-03-20 11:37:00,-7.642410384240147,-11.457810032237905,1.0500207080729496,-11.24115,C
2018-03-20 11:38:00,-7.6926296230955735,-11.48037703745511,1.0533163124822442,-11.24063,C
2018-03-20 11:39:00,-7.896048891225006,-11.623125484369735,1.056641840606913,-11.24011,C
2018-03-20 11:40:00,-7.830775077092041,-11.485738940806003,1.067549785948703,-11.23938,C
2018-03-20 11:41:00,-7.729469903346513,-11.33632734502369,1.0411868450270791,-11.23883,C
2018-03-20 11:42:00,-7.755322934231234,-11.536332565880183,1.052962890013026,-11.23846,C
2018-03-20 11:43:00,-7.884709691651893,-11.374655070461882,1.0682304617042195,-11.23767,C
2018-03-20 11:44:00,-7.817737850272939,-11.264805383859365,1.0829515933106544,-11.23715,C
2018-03-20 11:45:00,-7.890252399679862,-11.340744621370213,1.063042346231005,-11.23657,C
2018-03-20 11:46:00,-7.9417810921726355,-11.386552405210784,1.0728033821646292,-11.23584,C
2018-03-20 11:47:00,-7.844836730412389,-11.333542893088884,1.071470244738804,-11.23535,C
2018-03-20 11:48:00,-7.760695304520156,-11.444230018869487,1.0718973434830286,-11.23474,C
2018-03-20 11:49:00,-7.53597516468955,-11.219534191077102,1.0719652264671744,-11.23431,C
2018-03-20 11:50:00,-7.752224923913994,-11.298352935042642,1.0626033732702806,-11.23367,C
2018-03-20 11:51:00,-7.704177529355437,-11.346327362444871,1.065378308340831,-11.23306,C
2018-03-20 11:52:00,-7.733653606686471,-11.39073106595286,1.0596890986292316,-11.2326,C
2018-03-20 11:53:00,-7.7972853358251815,-11.272319768991638,1.0575105491442711,-11.23187,C
2018-03-20 11:54:00,-7.3147519294120755,-10.781932027385178,1.0606320208294386,-11.23132,C
2018-03-20 11:55:00,-7.64582373917713,-11.122474964354991,1.04924402547225,-11.23087,C
2018-03-20 11:56:00,-7.3280963492164055,-10.790075466679097,1.0703892105395862,-11.23016,C
2018-03-20 11:57:00,-7.013750692909626,-10.379920902298426,1.0312503369892152,-11.22961,C
2018-03-20 11:58:00,-7.130112429935922,-10.587495673568752,1.0192938875696056,-11.22903,C
2018-03-20 11:59:00,-7.234320574396041,-10.680620468018208,1.049470310544212,-11.22858,C
2018-03-20 12:00:00,-7.010098021307974,-10.530213355925735,1.061568272031792,-11.22781,C
2018-03-20 12:01:00,-7.539926044480419,-10.917478007871907,1.0901508603650427,-11.22736,C
2018-03-20 12:02:00,-6.902597751647586,-10.48538747811807,1.112292907008972,-11.2269,C
2018-03-20 12:03:00,-6.910846726027809,-10.779859497150431,1.0780083717767237,-11.22614,C
2018-03-20 12:04:00,-7.233022692733151,-10.975594030342585,1.113938613461963,-11.22549,C
2018-03-20 12:05:00,-7.493271468536596,-11.060457185647833,1.084542576272404,-11.22488,C
2018-03-20 12:06:00,-7.252594913334287,-10.827779389931166,1.0262649201168568,-11.22427,C
2018-03-20 12:07:00,-7.184264082860312,-10.769911587238186,1.035155229622121,-11.22363,C
2018-03-20 12:08:00,-6.684940741565222,-10.422772720704629,1.0495504580229564,-11.22287,C
2018-03-20 12:09:00,-7.143562009762046,-10.834116019756417,1.026290831966607,-11.22238,C
2018-03-20 12:10:00,-6.633390994221756,-10.24503888694744,1.0367302589094827,-11.22165,C
2018-03-20 12:11:00,-8.0550775934907,-11.813304991301386,0.9878661810656189,-11.22104,C
2018-03-20 12:12:00,-7.558153288628055,-11.99671551746675,0.9962151813619471,-11.22052,C
2018-03-20 12:13:00,-6.9876296817708905,-11.394776062864578,0.9820458847571416,-11.21994,C
2018-03-20 12:14:00,-7.563441867757211,-11.75970768515577,1.0097901555103732,-11.2193,C
2018-03-20 12:15:00,-7.933720769527001,-11.779956810807683,1.025085785348339,-11.21866,C
2018-03-20 12:16:00,-7.779529069361449,-11.709670720001071,1.018938095675832,-11.21796,C
2018-03-20 12:17:00,-7.4273838662340514,-11.38818210081657,1.0161651247203096,-11.21729,C
2018-03-20 12:18:00,-7.703460459164465,-11.53174829468157,1.0147775406861896,-11.21674,C
2018-03-20 12:19:00,-8.058133565626244,-11.821407435025396,1.0251832328661745,-11.21603,C
2018-03-20 12:20:00,-7.722069342668303,-11.559549742962197,1.021534757710782,-11.21545,C
2018-03-20 12:21:00,-8.055727788166282,-11.617544345160667,1.0516118285142406,-11.21487,C
2018-03-20 12:22:00,-8.161083886048356,-11.633235356086137,1.058735847305324,-11.2142,C
2018-03-20 12:23:00,-8.089330776088865,-11.477371866403336,1.0699344452082622,-11.21353,C
2018-03-20 12:24:00,-8.23284886945286,-11.63142303867669,1.0754491763919063,-11.21304,C
2018-03-20 12:25:00,-8.21159776533296,-11.57521569420772,1.0738756245807322,-11.21222,C
2018-03-20 12:26:00,-7.843843551681853,-11.345769222378578,1.0751013164634688,-11.21155,C
2018-03-20 12:27:00,-7.775707684961821,-11.466174285983648,1.0578430974948212,-11.21112,C
2018-03-20 12:28:00,-7.9317286452658236,-11.505186692884742,1.068428543815875,-11.21039,C
2018-03-20 12:29:00,-5.359581961492378,-10.36628494747516,0.9381568582172584,-11.20987,C
2018-03-20 12:30:00,-2.2055016718626086,-5.1388555321883045,1.096788735256352,-11.20938,C
2018-03-20 12:31:00,0.12409804631602515,-2.659878336626326,1.1172942697009827,-11.20972,C
2018-03-20 12:32:00,2.4517828463606492,-0.208507975519954,1.1281355011419496,-11.21152,C
2018-03-20 12:33:00,3.1550095205574835,0.5508220383341272,1.128577731367277,-11.21439,C
2018-03-20 12:34:00,2.736634411849799,0.13864238709737675,1.1282135105279272,-11.21768,C
2018-03-20 12:35:00,1.708496908431522,-0.910286722496788,1.1285730879263376,-11.22131,C
2018-03-20 12:36:00,1.1308625687209082,-1.5120532007241447,1.1249931885085882,-11.22446,C
2018-03-20 12:37:00,0.48320973146708834,-2.1676745765928205,1.1250525295637397,-11.22751,C
2018-03-20 12:38:00,-0.028675988431752786,-2.6838888876517486,1.1229158987638268,-11.2301,C
2018-03-20 12:39:00,-0.4062831932681713,-3.085864021962164,1.1257996124567553,-11.23282,C
2018-03-20 12:40:00,-0.5443412275340577,-3.2276446376228085,1.123815176162462,-11.23499,C
2018-03-20 12:41:00,-0.6809227169332216,-3.3211107977168233,1.122159535019632,-11.23746,C
2018-03-20 12:42:00,-0.8418950589920046,-3.5405910525292534,1.1180762396144397,-11.23965,C
2018-03-20 12:43:00,-0.6429177099438,-3.3727222173062765,1.1193935433179636,-11.242,C
2018-03-20 12:44:00,-0.190928234739358,-2.883747912477025,1.1223526665282169,-11.24429,C
2018-03-20 12:45:00,0.4693512623725579,-2.281606183224223,1.1329383072821662,-11.24695,C
2018-03-20 12:46:00,1.1747678550898126,-1.6253402484464414,1.1208369406867353,-11.24954,C
2018-03-20 12:47:00,2.0394565298513467,-0.6787252611883143,1.138739993767513,-11.25278,C
2018-03-20 12:48:00,2.3724971490134936,-0.32322425037305585,1.1382207585177468,-11.25623,C
2018-03-20 12:49:00,2.880281590772217,0.15407565439091378,1.141475574410765,-11.26028,C
